file_name,gpx_time,rec_num,name,latitude,longitude,elevation,used_max_elevation,comment,description,symbol,gps_quality,x_3794,y_3794
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,146,E6,46.251879903,13.766762987,1740.8,0,E6,"E6: SLO(404913.6,404913.6)",Waypoint,2,404914,124310
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,145,E7,46.250598896,13.767323988,1731.9,0,E7,"E7: SLO(404954.7,404954.7)",Waypoint,2,404955,124167
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,144,FOOT,46.274329992,13.755389918,1570.4,0,FOOT,"FOOT: SLO(404075.9,404075.9)",Trail Head,2,404076,126819
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,143,GDUIEW,46.251020674,13.764799694,1862.9,0,GDUIEW,"GDUIEW: SLO(404760.8,404760.8)",Scenic Area,2,404761,124217
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,142,GOVNJA,46.276229918,13.763099927,1570.4,0,GOVNJA,"GOVNJA: SLO(404673.4,404673.4)",Residence,2,404673,127021
old ICCC gps.gpx,2004-06-24,15,GW,46.25359937,13.76479148,1799.0,0,,,Danger Area,1,404765,124504
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,141,GW1,46.253635911,13.764985856,,0,GW1,"GW1: SLO(404779.6,404779.6)",Waypoint,2,404780,124508
Peter H old gps.gpx,2004-06-20,14,GW2,46.25386985,13.76429653,1811.7,0,,,Flag,1,404727,124534
Peter H old gps.gpx,2004-06-20,13,GW3,46.25407278,13.76340327,1824.5,0,,,Flag,1,404658,124558
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,140,HARE,46.251855846,13.759966940,,0,HARE,"HARE: SLO(404389.6,404389.6)",Waypoint,2,404390,124316
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,139,HAWK,46.250795955,13.758151839,1839.1,0,HAWK,"HAWK: SLO(404247.8,404247.8)",Waypoint,2,404248,124200
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,138,JANET,46.251185127,13.761745915,1871.8,0,JANET,"JANET: SLO(404525.6,404525.6)",Campground,2,404526,124239
old ICCC gps.gpx,2004-06-24,10,JB,46.25445516,13.75816332,1860.0,0,,,Flag,1,404255,124607
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,137,JCC,46.253113132,13.761011912,1850.6,0,JCC,"JCC: SLO(404472.3,404472.3)",Skull and Crossbones,2,404472,124454
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,136,JJ1,46.252955887,13.757686894,,0,JJ1,"JJ1: SLO(404215.7,404215.7)",Waypoint,2,404216,124441
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,135,JJ2,46.254394893,13.758346885,,0,JJ2,"JJ2: SLO(404269.1,404269.1)",Waypoint,2,404269,124600
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,134,JJ3BAD,46.250985973,13.758316878,,0,JJ3BAD,"JJ3BAD: SLO(404260.8,404260.8)",Waypoint,2,404261,124221
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,133,JJ3STA,46.251395848,13.758706888,,0,JJ3STA,"JJ3STA: SLO(404291.6,404291.6)",Waypoint,2,404292,124266
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,132,JJ4,46.259484971,13.756726999,,0,JJ4,"JJ4: SLO(404153.1,404153.1)",Waypoint,2,404153,125168
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,131,JJ5,46.259324877,13.755636849,,0,JJ5,"JJ5: SLO(404068.7,404068.7)",Waypoint,2,404069,125151
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,130,JJ6,46.260044966,13.755366867,,0,JJ6,"JJ6: SLO(404049.2,404049.2)",Waypoint,2,404049,125231
old ICCC gps.gpx,2004-06-24,9,JLH,46.25514457,13.76090161,1886.0,0,,,Flag,1,404467,124680
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,129,K10,46.259044837,13.767684912,,0,K10,"K10: SLO(404997.1,404997.1)",Waypoint,2,404997,125105
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,128,K11,46.258364897,13.768744972,,0,K11,"K11: SLO(405077.6,405077.6)",Waypoint,2,405078,125029
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,127,K12,46.258084942,13.770544901,,0,K12,"K12: SLO(405215.9,405215.9)",Waypoint,2,405216,124995
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,126,K13,46.258084942,13.770814883,,0,K13,"K13: SLO(405236.7,405236.7)",Waypoint,2,405237,124995
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,125,K14,46.257594936,13.768944964,,0,K14,"K14: SLO(405091.7,405091.7)",Waypoint,2,405092,124943
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,124,K15I,46.256605955,13.770544901,,0,K15I,"K15I: SLO(405213.4,405213.4)",Waypoint,2,405213,124831
